Character,Sentiment
"He's a maverick voodoo matador from the Mississippi delta a wealthy gold-digging schoolgirl prone to fits of savage, blood-crazed rage
",0.5
"He's a superhumanly strong vegetarian vagrant from the 'hood
",0.4333333333333333
"He's a superhumanly strong devious ex-con who must take medication to keep him sane
",0.4333333333333333
"He's a superhumanly strong flyboy romance novelist in a wheelchair 
",0.4333333333333333
"He's a superhumanly strong vegetarian vagrant from the 'hood
",0.4333333333333333
"He's a superhumanly strong flyboy romance novelist from a doomed world,
",0.4333333333333333
"He's a superhumanly strong devious ex-con who must take medication to keep him sane
",0.4333333333333333
"He's a superhumanly strong flyboy romance novelist in a wheelchair 
",0.4333333333333333
"He's a superhumanly strong flyboy romance novelist in a wheelchair 
",0.4333333333333333
"He's a superhumanly strong devious ex-con who must take medication to keep him sane
",0.4333333333333333
